customer_id,first_name,last_name,email,city,customer_segment,registration_date,is_active,loyalty_points
1,Customer_3927,Last_3927,Customer_3927@Email.Com,Al-Ahsa,Basic,1/1/2019 0:00,TRUE,20745
2,Customer_123,Last_123,Customer_123@Email.Com,Arar,Premium,1/2/2019 1:42,TRUE,36612
3,Customer_2414,Last_2414,Customer_2414@Email.Com,Al-Kharj,Standard,1/3/2019 3:24,TRUE,20797
4,Customer_2504,Last_2504,Customer_2504@Email.Com,Khamis Mushait,Standard,1/3/2019 16:15,TRUE,40889
5,Customer_1590,Last_1590,Customer_1590@Email.Com,Tabuk,Basic,1/3/2019 16:15,TRUE,31948
6,Customer_4960,Last_4960,Customer_4960@Email.Com,Hail,New,1/4/2019 5:06,FALSE,286
7,Customer_2463,Last_2463,Customer_2463@Email.Com,Najran,Basic,1/4/2019 17:57,TRUE,41978
8,Customer_1941,Last_1941,Customer_1941@Email.Com,Al-Kharj,Basic,1/5/2019 6:49,FALSE,832
9,Customer_3790,Last_3790,Customer_3790@Email.Com,Abha,Basic,1/5/2019 19:40,TRUE,47259
10,Customer_1766,Last_1766,Customer_1766@Email.Com,Al-Kharj,Basic,1/6/2019 21:22,TRUE,26863
11,Customer_3372,Last_3372,Customer_3372@Email.Com,Jubail,Basic,1/7/2019 10:13,TRUE,46095
12,Customer_736,Last_736,Customer_736@Email.Com,Najran,New,1/7/2019 10:13,TRUE,48848
13,Customer_4734,Last_4734,Customer_4734@Email.Com,Khamis Mushait,New,1/7/2019 23:04,TRUE,47609
14,Customer_1606,Last_1606,Customer_1606@Email.Com,Khamis Mushait,Standard,1/8/2019 11:55,TRUE,29633
15,Customer_416,Last_416,Customer_416@Email.Com,Riyadh,Basic,1/9/2019 0:46,TRUE,1658
16,Customer_477,Last_477,Customer_477@Email.Com,Jubail,Vip,1/9/2019 0:46,TRUE,43420
17,Customer_2901,Last_2901,Customer_2901@Email.Com,Abha,Basic,1/9/2019 13:38,TRUE,4964
18,Customer_4624,Last_4624,Customer_4624@Email.Com,Qatif,Basic,1/10/2019 15:20,TRUE,36474
19,Customer_4073,Last_4073,Customer_4073@Email.Com,Jeddah,Standard,1/11/2019 4:11,TRUE,3851
20,Customer_1153,Last_1153,Customer_1153@Email.Com,Jeddah,Basic,1/11/2019 17:02,TRUE,31986
21,Customer_2493,Last_2493,Customer_2493@Email.Com,Medina,Basic,1/11/2019 17:02,TRUE,25480
22,Customer_725,Last_725,Customer_725@Email.Com,Qatif,Standard,1/11/2019 17:02,TRUE,2991
23,Customer_1266,Last_1266,Customer_1266@Email.Com,Hail,Premium,1/12/2019 18:44,TRUE,20826
24,Customer_2996,Last_2996,Customer_2996@Email.Com,Dhahran,Standard,1/13/2019 7:36,TRUE,21985
25,Customer_1761,Last_1761,Customer_1761@Email.Com,Riyadh,New,1/14/2019 22:09,TRUE,4560
26,Customer_4836,Last_4836,Customer_4836@Email.Com,Abha,Vip,1/15/2019 11:00,TRUE,29396
27,Customer_1323,Last_1323,Customer_1323@Email.Com,Hail,Premium,1/15/2019 11:00,FALSE,31404
28,Customer_4336,Last_4336,Customer_4336@Email.Com,Dammam,Standard,1/15/2019 23:51,FALSE,63
29,Customer_472,Last_472,Customer_472@Email.Com,Dhahran,New,1/16/2019 12:42,TRUE,47457
30,Customer_3073,Last_3073,Customer_3073@Email.Com,Buraidah,New,1/16/2019 12:42,TRUE,26999
31,Customer_2730,Last_2730,Customer_2730@Email.Com,Tabuk,Basic,1/17/2019 1:33,TRUE,9131
32,Customer_1067,Last_1067,Customer_1067@Email.Com,Al-Kharj,Basic,1/18/2019 16:07,TRUE,26965
33,Customer_3738,Last_3738,Customer_3738@Email.Com,Riyadh,Premium,1/20/2019 19:31,TRUE,8515
34,Customer_3043,Last_3043,Customer_3043@Email.Com,Medina,New,1/21/2019 8:22,TRUE,23583
35,Customer_2675,Last_2675,Customer_2675@Email.Com,Tabuk,Vip,1/21/2019 8:22,TRUE,24462
36,Customer_3893,Last_3893,Customer_3893@Email.Com,Khobar,Standard,1/22/2019 10:05,TRUE,23324
37,Customer_4661,Last_4661,Customer_4661@Email.Com,Arar,Standard,1/24/2019 0:38,TRUE,20929
38,Customer_964,Last_964,Customer_964@Email.Com,Buraidah,Vip,1/25/2019 2:20,TRUE,45440
39,Customer_1827,Last_1827,Customer_1827@Email.Com,Dhahran,Basic,1/25/2019 2:20,FALSE,42019
40,Customer_764,Last_764,Customer_764@Email.Com,Dammam,Standard,1/25/2019 2:20,FALSE,42174
41,Customer_4258,Last_4258,Customer_4258@Email.Com,Jubail,Basic,1/26/2019 4:03,TRUE,28803
42,Customer_4007,Last_4007,Customer_4007@Email.Com,Hail,Standard,1/26/2019 4:03,FALSE,11717
43,Customer_371,Last_371,Customer_371@Email.Com,Qatif,Standard,1/26/2019 16:54,TRUE,34360
44,Customer_4387,Last_4387,Customer_4387@Email.Com,Abha,Vip,1/27/2019 5:45,FALSE,37313
45,Customer_4684,Last_4684,Customer_4684@Email.Com,Dhahran,Standard,1/27/2019 18:36,TRUE,24041
46,Customer_4491,Last_4491,Customer_4491@Email.Com,Arar,Basic,1/27/2019 18:36,TRUE,36782
47,Customer_2425,Last_2425,Customer_2425@Email.Com,Yanbu,Standard,1/28/2019 20:18,TRUE,35017
48,Customer_328,Last_328,Customer_328@Email.Com,Qatif,Basic,1/30/2019 23:43,TRUE,37886
49,Customer_3742,Last_3742,Customer_3742@Email.Com,Al-Kharj,Basic,2/1/2019 1:25,TRUE,13771
50,Customer_2141,Last_2141,Customer_2141@Email.Com,Dhahran,New,2/1/2019 1:25,FALSE,37965
51,Customer_1096,Last_1096,Customer_1096@Email.Com,Hail,New,2/1/2019 1:25,FALSE,22584
52,Customer_2735,Last_2735,Customer_2735@Email.Com,Najran,Standard,2/1/2019 1:25,FALSE,20721
53,Customer_3733,Last_3733,Customer_3733@Email.Com,Medina,Basic,2/2/2019 3:07,TRUE,39705
54,Customer_657,Last_657,Customer_657@Email.Com,Najran,Standard,2/2/2019 15:58,TRUE,33117
55,Customer_2364,Last_2364,Customer_2364@Email.Com,Khobar,Standard,2/2/2019 15:58,TRUE,11679
56,Customer_1389,Last_1389,Customer_1389@Email.Com,Yanbu,Premium,2/2/2019 15:58,TRUE,31171
57,Customer_4077,Last_4077,Customer_4077@Email.Com,Arar,Basic,2/2/2019 15:58,FALSE,40591
58,Customer_3928,Last_3928,Customer_3928@Email.Com,Dammam,Basic,2/3/2019 4:50,TRUE,20336
59,Customer_887,Last_887,Customer_887@Email.Com,Najran,Basic,2/3/2019 4:50,TRUE,46895
60,Customer_4022,Last_4022,Customer_4022@Email.Com,Taif,Vip,2/3/2019 4:50,TRUE,42759
61,Customer_678,Last_678,Customer_678@Email.Com,Medina,Standard,2/3/2019 17:41,TRUE,18114
62,Customer_1362,Last_1362,Customer_1362@Email.Com,Al-Kharj,Basic,2/4/2019 6:32,FALSE,24641
63,Customer_3831,Last_3831,Customer_3831@Email.Com,Arar,Premium,2/4/2019 6:32,TRUE,43171
64,Customer_1559,Last_1559,Customer_1559@Email.Com,Riyadh,Standard,2/4/2019 19:23,TRUE,18722
65,Customer_4550,Last_4550,Customer_4550@Email.Com,Mecca,New,2/5/2019 8:14,TRUE,22736
66,Customer_376,Last_376,Customer_376@Email.Com,Taif,Basic,2/5/2019 8:14,TRUE,9151
67,Customer_1561,Last_1561,Customer_1561@Email.Com,Riyadh,Standard,2/5/2019 21:05,FALSE,21571
68,Customer_1721,Last_1721,Customer_1721@Email.Com,Al-Kharj,Basic,2/6/2019 9:56,FALSE,28065
69,Customer_4406,Last_4406,Customer_4406@Email.Com,Yanbu,Vip,2/6/2019 9:56,TRUE,30421
70,Customer_3322,Last_3322,Customer_3322@Email.Com,Dammam,Premium,2/6/2019 22:47,TRUE,4723
71,Customer_3305,Last_3305,Customer_3305@Email.Com,Dammam,Basic,2/7/2019 11:39,TRUE,35701
72,Customer_375,Last_375,Customer_375@Email.Com,Qatif,Standard,2/7/2019 11:39,TRUE,6458
73,Customer_1556,Last_1556,Customer_1556@Email.Com,Hail,Premium,2/8/2019 0:30,FALSE,46557
74,Customer_1322,Last_1322,Customer_1322@Email.Com,Najran,Standard,2/8/2019 0:30,TRUE,30125
75,Customer_1211,Last_1211,Customer_1211@Email.Com,Jubail,Basic,2/8/2019 0:30,TRUE,16795
76,Customer_3816,Last_3816,Customer_3816@Email.Com,Riyadh,Standard,2/9/2019 2:12,TRUE,49178
77,Customer_554,Last_554,Customer_554@Email.Com,Yanbu,Basic,2/9/2019 15:03,TRUE,3993
78,Customer_4891,Last_4891,Customer_4891@Email.Com,Qatif,Basic,2/10/2019 16:45,FALSE,13276
79,Customer_1338,Last_1338,Customer_1338@Email.Com,Hail,Standard,2/11/2019 18:28,TRUE,7488
80,Customer_3142,Last_3142,Customer_3142@Email.Com,Jeddah,Basic,2/11/2019 18:28,TRUE,11864
81,Customer_1057,Last_1057,Customer_1057@Email.Com,Taif,Basic,2/12/2019 7:19,TRUE,14893
82,Customer_1005,Last_1005,Customer_1005@Email.Com,Buraidah,Basic,2/12/2019 7:19,TRUE,33043
